ID,Customer ID,Region,Store,Date,Week,Phone Type,Phone Model,Agreement,Tenure,Credit Category,Down payment,Per Month for phone,Plan For,Type,Plan Name,Line,Target Amount(Price),Price
63,###,South,Store 7,04-01-2017,1,Android,HTC 10,Installment,24,Good Credit,0,24,Phone,Regular,Unlimited Freedom,1,60,24
64,###,West,Store 8,25-02-2017,8,Android,HTC 10,Installment,24,Building Credit,150,20.8,Phone,Regular,Unlimited Freedom,4,120,170.8
65,###,North East,Store 13,08-01-2017,2,Android,Samsung S8,Lease,18,Building Credit,225,18.75,Phone,Promo,Unlimited Freedom,1,50,243.75
66,###,North East,Store 1,06-02-2017,6,Android,HTC 10,Installment,24,Good Credit,0,24,Phone,Regular,Unlimited Freedom,2,80,24
67,###,South,Store 3,12-02-2017,7,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Promo,Unlimited Freedom,1,50,35.42
68,###,West,Store 20,07-02-2017,6,Apple,iPhone 7 Plus,Installment,24,Good Credit,0,32.09,Phone,Regular,Unlimited Freedom,4,120,32.09
69,###,Midwest,Store 10,27-01-2017,4,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,4,120,7
70,###,North East,Store 17,11-02-2017,6,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,4,120,35.42
71,###,Midwest,Store 18,21-02-2017,8,Android,HTC Bolt,Installment,24,Good Credit,0,25,Phone,Promo,Unlimited Freedom,1,50,25
72,###,North East,Store 5,07-02-2017,6,Apple,iPhone 7 Plus,Lease,18,Good Credit,0,32.09,Phone,Regular,Unlimited Freedom,2,80,32.09
73,###,Midwest,Store 2,28-03-2017,13,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,3,90,35.42
74,###,North East,Store 5,03-03-2017,9,Android,Samsung S8,Lease,18,Good Credit,0,31.25,Phone,Promo,Unlimited Freedom,5,120,31.25
75,###,North East,Store 17,06-03-2017,10,Android,Samsung S8,Lease,18,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,2,80,31.25
76,###,West,Store 16,17-02-2017,7,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,5,150,7
77,###,Midwest,Store 14,13-03-2017,11,Apple,iPhone 7 Plus,Lease,18,Good Credit,0,32.09,Phone,Regular,Unlimited Freedom,2,80,32.09
78,###,South,Store 7,04-02-2017,5,Android,Samsung S8,Installment,24,Building Credit,225,21.88,Phone,Regular,Unlimited Freedom,5,150,246.88
79,###,South,Store 15,13-01-2017,2,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,4,120,7
80,###,Midwest,Store 2,02-02-2017,5,Apple,iPhone 7 Plus,Installment,24,Building Credit,200,23.75,Phone,Promo,Unlimited Freedom,5,120,223.75
81,###,Midwest,Store 10,10-02-2017,6,Apple,iPhone 7,Installment,24,Building Credit,150,20.84,Phone,Promo,Unlimited Freedom,1,50,170.84
82,###,West,Store 20,05-01-2017,1,Android,HTC Bolt,Installment,24,Good Credit,0,25,Phone,Promo,Unlimited Freedom,5,120,25
83,###,North East,Store 9,25-02-2017,8,Android,LG Stylo 3,Installment,24,Good Credit,0,11,Phone,Regular,Unlimited Freedom,4,120,11
84,###,West,Store 12,23-01-2017,4,Android,HTC 10,Installment,24,Building Credit,150,20.8,Phone,Regular,Unlimited Freedom,2,80,170.8
85,###,West,Store 12,22-03-2017,12,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Regular,Unlimited Freedom,1,60,271.54
86,###,Midwest,Store 6,24-01-2017,4,Apple,iPhone 7 Plus,Installment,24,Good Credit,0,32.09,Phone,Regular,Unlimited Freedom,4,120,32.09
87,###,South,Store 19,10-02-2017,6,Apple,iPhone 6S,Installment,24,Good Credit,0,22.09,Phone,Regular,Unlimited Freedom,5,150,22.09
88,###,West,Store 4,25-03-2017,12,Android,Samsung J7 Perx,Installment,24,Building Credit,25,9.96,Phone,Regular,Unlimited Freedom,2,80,34.96
89,###,Midwest,Store 2,19-03-2017,12,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Regular,Unlimited Freedom,5,150,34.96
90,###,West,Store 4,09-01-2017,2,Apple,iPhone 7,Lease,18,Building Credit,150,18.76,Phone,Regular,Unlimited Freedom,3,90,168.76
91,###,North East,Store 5,08-03-2017,10,Apple,iPhone 7,Installment,24,Good Credit,0,27.09,Phone,Regular,Unlimited Freedom,1,60,27.09
92,###,South,Store 3,28-02-2017,9,Android,HTC 10,Installment,24,Good Credit,0,24,Phone,Regular,Unlimited Freedom,4,120,24
93,###,West,Store 4,11-02-2017,6,Apple,iPhone 6S,Installment,24,Building Credit,75,18.96,Phone,Promo,Unlimited Freedom,5,120,93.96
94,###,Midwest,Store 2,26-03-2017,13,Android,Samsung J7 Perx,Installment,24,Good Credit,0,11,Phone,Regular,Unlimited Freedom,3,90,11
95,###,West,Store 16,11-03-2017,10,Android,HTC Bolt,Installment,24,Building Credit,50,22.92,Phone,Promo,Unlimited Freedom,5,120,72.92
96,###,North East,Store 17,11-01-2017,2,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,3,90,35.42
97,###,South,Store 7,22-03-2017,12,Apple,iPhone 6S,Installment,24,Building Credit,75,18.96,Phone,Promo,Unlimited Freedom,1,50,93.96
98,###,South,Store 11,18-01-2017,3,Apple,iPhone 7,Lease,18,Good Credit,0,27.09,Phone,Regular,Unlimited Freedom,1,60,27.09
99,###,North East,Store 9,19-02-2017,8,Apple,iPhone 6S Plus,Installment,24,Building Credit,100,22.09,Phone,Regular,Unlimited Freedom,2,80,122.09
100,###,North East,Store 5,27-03-2017,13,Apple,iPhone 7,Installment,24,Building Credit,150,20.84,Phone,Regular,Unlimited Freedom,1,60,170.84
101,###,West,Store 12,17-01-2017,3,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,4,120,35.42
102,###,Midwest,Store 18,18-03-2017,11,Apple,iPhone 7,Installment,24,Good Credit,0,27.09,Phone,Regular,Unlimited Freedom,4,120,27.09
103,###,West,Store 20,16-02-2017,7,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,4,120,7
104,###,North East,Store 13,19-02-2017,8,Android,HTC Bolt,Installment,24,Building Credit,50,22.92,Phone,Promo,Unlimited Freedom,1,50,72.92
105,###,North East,Store 9,17-01-2017,3,Android,HTC 10,Installment,24,Building Credit,150,20.8,Phone,Regular,Unlimited Freedom,1,60,170.8
106,###,South,Store 7,24-01-2017,4,Android,HTC 10,Installment,24,Building Credit,150,20.8,Phone,Regular,Unlimited Freedom,3,90,170.8
107,###,Midwest,Store 2,05-01-2017,1,Android,LG G6,Installment,24,Building Credit,200,6.42,Phone,Regular,Unlimited Freedom,2,80,206.42
108,###,Midwest,Store 6,20-03-2017,12,Apple,iPhone 7,Installment,24,Good Credit,0,27.09,Phone,Regular,Unlimited Freedom,5,150,27.09
109,###,South,Store 11,03-03-2017,9,Android,Samsung S8+,Installment,24,Building Credit,250,25,Phone,Regular,Unlimited Freedom,3,90,275
110,###,South,Store 19,03-01-2017,1,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Promo,Unlimited Freedom,1,50,35.42
111,###,Midwest,Store 18,14-02-2017,7,Android,Samsung S8+,Installment,24,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,2,80,35.42
112,###,South,Store 3,25-03-2017,12,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Promo,Unlimited Freedom,1,50,31.25
113,###,North East,Store 17,10-03-2017,10,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,5,150,31.25
114,###,North East,Store 9,19-03-2017,12,Android,Samsung S8,Lease,18,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,2,80,31.25
115,###,North East,Store 9,11-02-2017,6,Android,HTC 10,Installment,24,Good Credit,0,24,Phone,Promo,Unlimited Freedom,5,120,24
116,###,West,Store 16,24-03-2017,12,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,4,120,7
117,###,North East,Store 5,05-02-2017,6,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Promo,Unlimited Freedom,1,50,31.25
118,###,Midwest,Store 18,17-02-2017,7,Android,Samsung S8,Installment,24,Building Credit,225,21.88,Phone,Regular,Unlimited Freedom,4,120,246.88
119,###,Midwest,Store 2,15-03-2017,11,Android,Samsung S8,Lease,18,Good Credit,0,31.25,Phone,Promo,Unlimited Freedom,1,50,31.25
120,###,North East,Store 13,05-03-2017,10,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Regular,Unlimited Freedom,2,80,271.54
121,###,Midwest,Store 18,18-03-2017,11,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Regular,Unlimited Freedom,3,90,34.96
122,###,Midwest,Store 10,24-02-2017,8,Android,HTC Bolt,Installment,24,Building Credit,50,22.92,Phone,Regular,Unlimited Freedom,2,80,72.92
123,###,West,Store 20,21-03-2017,12,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Promo,Unlimited Freedom,5,120,31.25
124,###,West,Store 12,25-01-2017,4,Apple,iPhone 6S Plus,Installment,24,Good Credit,0,26.25,Phone,Regular,Unlimited Freedom,3,90,26.25
125,###,North East,Store 13,14-02-2017,7,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,1,60,7
126,###,Midwest,Store 10,17-02-2017,7,Android,Samsung S8,Lease,18,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,3,90,31.25
127,###,West,Store 12,16-03-2017,11,Android,LG G6,Installment,24,Good Credit,0,14.75,Phone,Regular,Unlimited Freedom,3,90,14.75
128,###,South,Store 7,01-03-2017,9,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Promo,Unlimited Freedom,1,50,31.25
129,###,South,Store 19,16-01-2017,3,Android,Samsung S8,Lease,18,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,5,150,31.25
130,###,West,Store 12,09-03-2017,10,Android,Samsung J3 Emerge,Installment,24,Building Credit,25,5.96,Phone,Regular,Unlimited Freedom,3,90,30.96
131,###,West,Store 16,27-03-2017,13,Apple,iPhone 7 Plus,Lease,18,Building Credit,200,20.98,Phone,Regular,Unlimited Freedom,2,80,220.98
132,###,North East,Store 9,22-02-2017,8,Apple,iPhone 7,Lease,18,Good Credit,0,27.09,Phone,Promo,Unlimited Freedom,5,120,27.09
133,###,South,Store 7,21-03-2017,12,Android,Samsung S8,Installment,24,Building Credit,225,21.88,Phone,Promo,Unlimited Freedom,1,50,246.88
134,###,Midwest,Store 10,21-01-2017,3,Android,Samsung J7 Perx,Installment,24,Building Credit,25,9.96,Phone,Regular,Unlimited Freedom,3,90,34.96
135,###,North East,Store 13,14-03-2017,11,Android,Samsung J3 Emerge,Installment,24,Building Credit,25,5.96,Phone,Regular,Unlimited Freedom,3,90,30.96
136,###,South,Store 15,07-01-2017,1,Android,Samsung S8+,Installment,24,Building Credit,250,25,Phone,Promo,Unlimited Freedom,5,120,275
137,###,South,Store 7,14-01-2017,2,Android,LG Stylo 3,Installment,24,Good Credit,0,11,Phone,Regular,Unlimited Freedom,2,80,11
138,###,South,Store 11,12-01-2017,2,Apple,iPhone 6S Plus,Installment,24,Building Credit,100,22.09,Phone,Promo,Unlimited Freedom,5,120,122.09
139,###,Midwest,Store 10,24-03-2017,12,Apple,iPhone 7,Installment,24,Building Credit,150,20.84,Phone,Regular,Unlimited Freedom,2,80,170.84
140,###,Midwest,Store 2,25-01-2017,4,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Promo,Unlimited Freedom,1,50,7
141,###,North East,Store 17,09-02-2017,6,Android,HTC 10,Installment,24,Good Credit,0,24,Phone,Promo,Unlimited Freedom,5,120,24
142,###,South,Store 19,10-03-2017,10,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,3,90,7
143,###,West,Store 20,10-03-2017,10,Apple,iPhone 7,Installment,24,Building Credit,150,20.84,Phone,Regular,Unlimited Freedom,5,150,170.84
144,###,North East,Store 13,21-02-2017,8,Android,Samsung S8+,Installment,24,Building Credit,250,25,Phone,Regular,Unlimited Freedom,3,90,275
145,###,Midwest,Store 6,10-03-2017,10,Apple,iPhone 7 Plus,Lease,18,Good Credit,0,32.09,Phone,Regular,Unlimited Freedom,2,80,32.09
146,###,North East,Store 17,03-01-2017,1,Apple,iPhone 6S Plus,Installment,24,Building Credit,100,22.09,Phone,Regular,Unlimited Freedom,5,150,122.09
147,###,South,Store 3,09-01-2017,2,Android,Samsung S8+,Installment,24,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,2,80,35.42
148,###,North East,Store 1,21-02-2017,8,Android,HTC Bolt,Installment,24,Good Credit,0,25,Phone,Regular,Unlimited Freedom,2,80,25
149,###,North East,Store 9,28-03-2017,13,Apple,iPhone 7 Plus,Lease,18,Good Credit,0,32.09,Phone,Regular,Unlimited Freedom,3,90,32.09
150,###,Midwest,Store 10,23-02-2017,8,Android,Samsung S8+,Installment,24,Building Credit,250,25,Phone,Promo,Unlimited Freedom,1,50,275
151,###,North East,Store 17,27-03-2017,13,Android,HTC 10,Installment,24,Good Credit,0,24,Phone,Regular,Unlimited Freedom,5,150,24
152,###,South,Store 7,21-03-2017,12,Apple,iPhone 7,Lease,18,Good Credit,0,27.09,Phone,Promo,Unlimited Freedom,5,120,27.09
153,###,West,Store 4,13-03-2017,11,Android,Samsung S8+,Lease,18,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,2,80,35.42
154,###,North East,Store 1,19-02-2017,8,Android,Samsung J7 Perx,Installment,24,Building Credit,25,9.96,Phone,Promo,Unlimited Freedom,5,120,34.96
155,###,South,Store 19,06-03-2017,10,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,2,80,31.25
156,###,Midwest,Store 18,01-01-2017,1,Android,LG G6,Installment,24,Building Credit,200,6.42,Phone,Regular,Unlimited Freedom,3,90,206.42
157,###,South,Store 19,06-01-2017,1,Apple,iPhone 6S Plus,Installment,24,Building Credit,100,22.09,Phone,Regular,Unlimited Freedom,5,150,122.09
158,###,West,Store 4,03-03-2017,9,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,3,90,7
159,###,Midwest,Store 18,15-03-2017,11,Apple,iPhone 7 Plus,Installment,24,Building Credit,200,23.75,Phone,Promo,Unlimited Freedom,1,50,223.75
160,###,North East,Store 5,10-03-2017,10,Android,Samsung J7 Perx,Installment,24,Good Credit,0,11,Phone,Promo,Unlimited Freedom,5,120,11
161,###,West,Store 16,16-02-2017,7,Android,LG G6,Installment,24,Building Credit,200,6.42,Phone,Regular,Unlimited Freedom,1,60,206.42
162,###,South,Store 7,27-02-2017,9,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Regular,Unlimited Freedom,5,150,271.54
163,###,Midwest,Store 2,19-01-2017,3,Android,Samsung S8,Installment,24,Building Credit,225,21.88,Phone,Regular,Unlimited Freedom,1,60,246.88
164,###,South,Store 19,04-02-2017,5,Android,Samsung S8+,Lease,18,Building Credit,250,21.54,Phone,Promo,Unlimited Freedom,1,50,271.54
165,###,South,Store 19,15-01-2017,3,Apple,iPhone 6S Plus,Installment,24,Building Credit,100,22.09,Phone,Regular,Unlimited Freedom,4,120,122.09
166,###,North East,Store 1,09-02-2017,6,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Promo,Unlimited Freedom,5,120,7
167,###,West,Store 4,26-03-2017,13,Apple,iPhone 6S,Installment,24,Good Credit,0,22.09,Phone,Promo,Unlimited Freedom,5,120,22.09
168,###,Midwest,Store 2,27-03-2017,13,Android,Samsung S8,Installment,24,Building Credit,225,21.88,Phone,Promo,Unlimited Freedom,1,50,246.88
169,###,Midwest,Store 10,15-03-2017,11,Android,Samsung J3 Emerge,Installment,24,Good Credit,0,7,Phone,Regular,Unlimited Freedom,1,60,7
170,###,North East,Store 5,04-02-2017,5,Apple,iPhone 7 Plus,Lease,18,Good Credit,0,32.09,Phone,Regular,Unlimited Freedom,5,150,32.09
171,###,Midwest,Store 2,10-01-2017,2,Android,Samsung S8+,Installment,24,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,1,60,35.42
172,###,West,Store 4,21-01-2017,3,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Promo,Unlimited Freedom,1,50,31.25
173,###,North East,Store 9,15-03-2017,11,Android,LG G6,Installment,24,Good Credit,0,14.75,Phone,Promo,Unlimited Freedom,1,50,14.75
174,###,South,Store 11,28-01-2017,4,Apple,iPhone 7 Plus,Installment,24,Building Credit,200,23.75,Phone,Promo,Unlimited Freedom,1,50,223.75
175,###,North East,Store 9,15-01-2017,3,Android,Samsung S8+,Installment,24,Good Credit,0,35.42,Phone,Regular,Unlimited Freedom,4,120,35.42
176,###,North East,Store 17,09-01-2017,2,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Promo,Unlimited Freedom,1,50,34.96
177,###,North East,Store 1,09-01-2017,2,Android,Samsung S8,Installment,24,Good Credit,0,31.25,Phone,Regular,Unlimited Freedom,4,120,31.25
178,###,South,Store 19,28-03-2017,13,Apple,iPhone 6S Plus,Installment,24,Building Credit,100,22.09,Phone,Regular,Unlimited Freedom,1,60,122.09
179,###,North East,Store 13,08-01-2017,2,Android,LG Stylo 3,Installment,24,Building Credit,25,9.96,Phone,Regular,Unlimited Freedom,1,60,34.96
180,###,South,Store 3,11-03-2017,10,Android,LG G6,Installment,24,Good Credit,0,14.75,Phone,Regular,Unlimited Freedom,3,90,14.75
181,###,South,Store 11,13-02-2017,7,Apple,iPhone 6S,Installment,24,Building Credit,75,18.96,Phone,Promo,Unlimited Freedom,1,50,93.96
182,###,South,Store 7,15-03-2017,11,Apple,iPhone 7,Lease,18,Building Credit,150,18.76,Phone,Promo,Unlimited Freedom,1,50,168.76
